Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,15
design__inferred_latch__count,0
design__instance__count,651
design__instance__area,5282.57
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,9
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002493966603651643
power__switching__total,0.00006476698035839945
power__leakage__total,5.488546506171588E-9
power__total,0.0003141691267956048
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2600062461149132
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5981752484873488
timing__hold__ws__corner:nom_tt_025C_1v80,0.3204777645081451
timing__setup__ws__corner:nom_tt_025C_1v80,17.906968859020434
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320478
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,22.069260
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,9
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.44439728155223396
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.9443972537966575
timing__hold__ws__corner:nom_ss_100C_1v60,0.8887947296379263
timing__setup__ws__corner:nom_ss_100C_1v60,15.99630695402644
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.888795
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,19.104374
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,9
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25789418552870874
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.47341976123765
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1114777191000221
timing__setup__ws__corner:nom_ff_n40C_1v95,18.57552564343255
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111478
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,23.225590
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,9
design__max_cap_violation__count,0
clock__skew__worst_hold,0.4487728371494845
clock__skew__worst_setup,0.4713077839181748
timing__hold__ws,0.1091036736281723
timing__setup__ws,15.969572782837373
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109104
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,19.062809
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 110.0 110.0
design__core__bbox,5.52 10.88 104.42 97.92
design__io,107
design__die__area,12100
design__core__area,8608.26
design__instance__count__stdcell,651
design__instance__area__stdcell,5282.57
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.613663
design__instance__utilization__stdcell,0.613663
design__instance__count__class:inverter,6
design__instance__count__class:sequential_cell,73
design__instance__count__class:multi_input_combinational_cell,274
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,627
design__instance__count__class:tap_cell,119
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,105
design__io__hpwl,1812862
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,7747.73
design__violations,0
design__instance__count__class:timing_repair_buffer,89
design__instance__count__class:clock_buffer,10
design__instance__count__class:clock_inverter,6
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,47
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,74
antenna_diodes_count,0
route__net,488
route__net__special,2
route__drc_errors__iter:1,195
route__wirelength__iter:1,8851
route__drc_errors__iter:2,53
route__wirelength__iter:2,8765
route__drc_errors__iter:3,28
route__wirelength__iter:3,8712
route__drc_errors__iter:4,0
route__wirelength__iter:4,8694
route__drc_errors,0
route__wirelength,8694
route__vias,2959
route__vias__singlecut,2959
route__vias__multicut,0
design__disconnected_pin__count,30
design__critical_disconnected_pin__count,0
route__wirelength__max,212.6
timing__unannotated_net__count__corner:nom_tt_025C_1v80,94
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,94
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,94
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,9
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25887520637658834
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5953377959119145
timing__hold__ws__corner:min_tt_025C_1v80,0.3161597184651966
timing__setup__ws__corner:min_tt_025C_1v80,17.92366839013993
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.316160
