Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,35
design__inferred_latch__count,0
design__instance__count,4681
design__instance__area,33903.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,140
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001072624116204679
power__switching__total,0.00041734063415788114
power__leakage__total,3.2936522842419436E-8
power__total,0.0014899977250024676
clock__skew__worst_hold__corner:nom_tt_025C_1v80,5.050572547581107
clock__skew__worst_setup__corner:nom_tt_025C_1v80,5.5505726030922595
timing__hold__ws__corner:nom_tt_025C_1v80,0.3214921753144346
timing__setup__ws__corner:nom_tt_025C_1v80,16.88633991543875
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321492
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,20.696585
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,32
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,140
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,5.382448417093927
clock__skew__worst_setup__corner:nom_ss_100C_1v60,5.88244847260508
timing__hold__ws__corner:nom_ss_100C_1v60,0.8992201682232179
timing__setup__ws__corner:nom_ss_100C_1v60,14.208480127950986
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.899220
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.617162
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,140
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,4.93674981534215
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,5.436749870853303
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11335077641784089
timing__setup__ws__corner:nom_ff_n40C_1v95,17.88715004520273
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113351
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,22.145353
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,50
design__max_fanout_violation__count,140
design__max_cap_violation__count,0
clock__skew__worst_hold,5.394068011598279
clock__skew__worst_setup,5.433315284807186
timing__hold__ws,0.11071627261704776
timing__setup__ws,14.10412804246914
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110716
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.526066
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 240.0 240.0
design__core__bbox,5.52 10.88 234.14 228.48
design__io,107
design__die__area,57600
design__core__area,49747.7
design__instance__count__stdcell,4681
design__instance__area__stdcell,33903.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.681514
design__instance__utilization__stdcell,0.681514
design__instance__count__class:buffer,2
design__instance__count__class:inverter,52
design__instance__count__class:sequential_cell,452
design__instance__count__class:multi_input_combinational_cell,1560
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2700
design__instance__count__class:tap_cell,697
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,105
design__io__hpwl,2232220
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,61425.4
design__violations,0
design__instance__count__class:timing_repair_buffer,607
design__instance__count__class:clock_buffer,40
design__instance__count__class:clock_inverter,22
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,361
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,1249
antenna_diodes_count,0
route__net,2745
route__net__special,2
route__drc_errors__iter:1,1656
route__wirelength__iter:1,78117
route__drc_errors__iter:2,687
route__wirelength__iter:2,77210
route__drc_errors__iter:3,646
route__wirelength__iter:3,77005
route__drc_errors__iter:4,62
route__wirelength__iter:4,76707
route__drc_errors__iter:5,4
route__wirelength__iter:5,76686
route__drc_errors__iter:6,1
route__wirelength__iter:6,76690
route__drc_errors__iter:7,0
route__wirelength__iter:7,76706
route__drc_errors,0
route__wirelength,76706
route__vias,22320
route__vias__singlecut,22320
route__vias__multicut,0
design__disconnected_pin__count,31
design__critical_disconnected_pin__count,0
route__wirelength__max,432.74
timing__unannotated_net__count__corner:nom_tt_025C_1v80,125
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,125
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,125
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,140
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,5.043243299054456
clock__skew__worst_setup__corner:min_tt_025C_1v80,5.543243354565609
timing__hold__ws__corner:min_tt_025C_1v80,0.3188909782053222
timing__setup__ws__corner:min_tt_025C_1v80,16.945119564916908
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
