Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,4176
design__instance__area,28377.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,176
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,23
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0005447840667329729
power__switching__total,0.0005353012820705771
power__leakage__total,1.1000787836223935E-8
power__total,0.0010800962336361408
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2684812170798047
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2684812170798047
timing__hold__ws__corner:nom_tt_025C_1v80,0.3482565445706262
timing__setup__ws__corner:nom_tt_025C_1v80,10.340429249981042
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.348257
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,298
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,23
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2819076440966831
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2819076440966831
timing__hold__ws__corner:nom_ss_100C_1v60,0.9718396362731633
timing__setup__ws__corner:nom_ss_100C_1v60,0.1571791630228221
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.971840
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,23
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26367231366821137
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26367231366821137
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1367479501674161
timing__setup__ws__corner:nom_ff_n40C_1v95,13.224783420461788
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.136748
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,341
design__max_fanout_violation__count,23
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2623530356107376
clock__skew__worst_setup,0.2623530356107376
timing__hold__ws,0.1342425653080386
timing__setup__ws,-0.02999733879533471
timing__hold__tns,0.0
timing__setup__tns,-0.02999733879533471
timing__hold__wns,0
timing__setup__wns,-0.02999733879533471
timing__hold_vio__count,0
timing__hold_r2r__ws,0.134243
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 185.0 185.0
design__core__bbox,5.52 10.88 179.4 174.08
design__io,218
design__die__area,34225
design__core__area,28377.2
design__instance__count__stdcell,1679
design__instance__area__stdcell,10887.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.383686
design__instance__utilization__stdcell,0.383686
design__rows,60
design__rows:unithd,60
design__sites,22680
design__sites:unithd,22680
design__instance__count__class:buffer,33
design__instance__area__class:buffer,165.158
design__instance__count__class:inverter,34
design__instance__area__class:inverter,127.622
design__instance__count__class:sequential_cell,36
design__instance__area__class:sequential_cell,945.907
design__instance__count__class:multi_input_combinational_cell,755
design__instance__area__class:multi_input_combinational_cell,6997.96
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2497
design__instance__area__class:fill_cell,17489.3
design__instance__count__class:tap_cell,403
design__instance__area__class:tap_cell,504.234
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,216
design__io__hpwl,4958696
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,388.32
design__instance__displacement__mean,0.215
design__instance__displacement__max,10.04
route__wirelength__estimated,19913.1
design__violations,0
design__instance__count__class:timing_repair_buffer,147
design__instance__area__class:timing_repair_buffer,1356.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,125.12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,6421
global_route__wirelength,35445
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,266
design__instance__area__class:antenna_cell,665.638
antenna_diodes_count,0
route__net,1125
route__net__special,2
route__drc_errors__iter:0,220
route__wirelength__iter:0,22338
route__drc_errors__iter:1,78
route__wirelength__iter:1,22157
route__drc_errors__iter:2,78
route__wirelength__iter:2,22110
route__drc_errors__iter:3,0
route__wirelength__iter:3,22036
route__drc_errors,0
route__wirelength,22036
route__vias,7124
route__vias__singlecut,7124
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,94
design__critical_disconnected_pin__count,0
route__wirelength__max,259.9
timing__unannotated_net__count__corner:nom_tt_025C_1v80,126
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,126
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,126
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
