Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,447
design__inferred_latch__count,0
design__instance__count,1108
design__instance__area,8964.85
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,10
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00035070235026068985
power__switching__total,0.00011013922630809247
power__leakage__total,8.730953737767777E-9
power__total,0.00046085030771791935
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.263062384876808
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.263062384876808
timing__hold__ws__corner:nom_tt_025C_1v80,0.3160035100812139
timing__setup__ws__corner:nom_tt_025C_1v80,13.214691936971748
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.316004
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,20.288799
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,10
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27103473010866086
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27103473010866086
timing__hold__ws__corner:nom_ss_100C_1v60,0.8659345707805501
timing__setup__ws__corner:nom_ss_100C_1v60,11.395421817592794
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.865935
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.503116
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,10
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2606384626341663
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2606384626341663
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11177908914857992
timing__setup__ws__corner:nom_ff_n40C_1v95,13.830680991948773
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111779
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,21.994684
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,10
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2589522836122528
clock__skew__worst_setup,0.2589522836122528
timing__hold__ws,0.10896817090418454
timing__setup__ws,11.377824338065585
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108968
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.424949
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 130.0 130.0
design__core__bbox,5.52 10.88 124.2 116.96
design__io,107
design__die__area,16900
design__core__area,12589.6
design__instance__count__stdcell,1108
design__instance__area__stdcell,8964.85
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.712085
design__instance__utilization__stdcell,0.712085
design__instance__count__class:buffer,1
design__instance__count__class:inverter,22
design__instance__count__class:sequential_cell,129
design__instance__count__class:multi_input_combinational_cell,528
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,826
design__instance__count__class:tap_cell,184
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,105
design__io__hpwl,2062622
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,14200.1
design__violations,0
design__instance__count__class:timing_repair_buffer,132
design__instance__count__class:clock_buffer,22
design__instance__count__class:clock_inverter,10
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,71
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,80
antenna_diodes_count,0
route__net,866
route__net__special,2
route__drc_errors__iter:1,408
route__wirelength__iter:1,16562
route__drc_errors__iter:2,170
route__wirelength__iter:2,16279
route__drc_errors__iter:3,233
route__wirelength__iter:3,16212
route__drc_errors__iter:4,1
route__wirelength__iter:4,16198
route__drc_errors__iter:5,0
route__wirelength__iter:5,16194
route__drc_errors,0
route__wirelength,16194
route__vias,5848
route__vias__singlecut,5848
route__vias__multicut,0
design__disconnected_pin__count,20
design__critical_disconnected_pin__count,0
route__wirelength__max,378.83
timing__unannotated_net__count__corner:nom_tt_025C_1v80,105
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,105
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,105
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,10
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.26111022416624746
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.26111022416624746
timing__hold__ws__corner:min_tt_025C_1v80,0.31230757752770866
timing__setup__ws__corner:min_tt_025C_1v80,13.224797631316905
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
